sahayapurv/MasterThesis---Pattern-Sirius,1044703301,ecore
alxbrd/org.eclipse.epsilon,229569136,ecore
felipealencar/moses,6309238,ecore
KybeleResearch/metagem,31267056,ecore
yapingl/AGSN,57795540,eol
TransformationToolContest/ttc2018liveContest,1000763378,ecore
gssi/metamodelsdataset-ECMFA2020,680248064,eol
virtualsatellite/VirtualSatellite4-TML,49808057,ecore
UoY-RoboStar/roboarch2chart-epsilon,1726447,ecore
kansor/Univaq-Thesis-GM,264735490,ecore
burakuzn/ArchitectureModelDifferentiator,89126258,eol
FernanOrtega/sma-mdd-android-wp,129767504,eol
adilinam/QVTo-QVTd-OCL,172091663,ecore
thanhnguyenhuu66/2DGraphicalSyntaxProject,110634884,ecore
ModelWriter/Demonstrations,226927833,ecore
wrwei/Jorvik,774464017,ecore
alfonsodelavega/flexmi-evaluation,12411291,ecore
adilinam/QVTdCaseStudy,19137039,ecore
Antolin1/TCRMG-GNN,51088719,ecore
SEALABQualityGroup/padre-examaple,112908112,ecore
Ao99/resume-template-dsl,189150580,ecore
crossminer/crossminer,36965109,ecore
PeFerreira98/ISEP.Master.EDOM.Old,133604126,eol
arapost/acedit,158566912,eol
epsilonlabs/incremental-evl,4244996,ecore
chelder86/ArcadeTongame,208456111,ecore
moji1/MDebugger,15467647,eol
salser/TAIS,196700599,ecore
cproinger/context-manager,13239542,ecore
kemlg/aliveclipse,120906982,ecore
alfa-ryano/gamified-modelling-server,298801,eol
cdmsantos/crystalcase,544773254,eol
pedrorleonardo/teseVisualino,4055816,ecore
JoseJuan98/MDE_Template_Driven_Web_Site,821112967,ecore
wrwei/org.eclipse.epsilon.labs.smartsax.emc.emf,639726161,ecore
mdecommunity-uece/MDE-in-practice,609512261,ecore
Fhma/MT_EOL,106021564,eol
francoispfister/diagraph,15820514,ecore
utwente-fmt/COMET,450733932,eol
inacioloy/NoSQLCase,16305673,ecore
maxcleme/EmfaticEpsilonQuestionnaire,540275851,eol
crossminer/scava,1036109747,ecore
abrahamreq/sma.formularios,643306230,ecore
spbu-se/pldoctoolkit,17585758,ecore
smee/amor,78318223,eol
SMadani/PhD,63740763,ecore
erroso/RAMA,47708069,ecore
renatomsoares/us2star,148137756,ecore
A0L0XIIV/McMaster_Grad_Projects,75857818,ecore
utwente-fmt/STARS,22282213,ecore
BlackBeltTechnology/judo-generator,4689093,ecore
Hyacinth-Ali/epsilon-repo,654444384,eol
cadorca/mtcflow,11351768,eol
SEALABQualityGroup/epsilon-antipattern-d-s,226792902,eol
tarcisiocouto/bvccon-tool,267512338,eol
adolfosbh/cs2as,115466087,ecore
lucasvieira123/MDEProject,67135373,ecore
KybeleResearch/servicereasoning,3341379,ecore
Akilaloganathan/DSL---FoodPrep,703144803,eol
yarp14/usecases,93695664,ecore
ambrusthomas/MeDeR.refactor.refactoring,1051498778,ecore
francoispfister/diagraph,937681587,ecore
phy3rdh/DmilsMBAC,544809910,eol
gssi/metamodel-dataset-analysis-toolchain,109330253,eol
infinitesnow/ENewspaper,327175,eol
edsonalves/dsql,96300470,eol
kanchan345/ca.queensu.cs.papyrus.rt.optimization,25121245,eol
rjimenezh/abdiel,275114454,eol
UOY-Enterprise/mt2-tutorial,18615115,ecore
nasa/CertWare,58844272,eol
eventB-Soton/UML-B_ERS_Diagram,233076132,eol
kit-sdq-emf-refactor-fork/org.eclipse.emf.refactor.refactoring,22571920,eol
gssi/QualityEvaluationIL,28637712,eol
gssi/modelAnalyzer,3942221,ecore
raduscrieciu/QuizGame,26938153,eol
agarciadom/simplified-bpmn-example,14773887,eol
nafisehka/UMLRTSynthesizer,220712,ecore
PeFerreira98/ISEP.Master.EDOM_2021,14664012,eol
bluesarab/jastemf,55287128,eol
epsilonlabs/haetae,18761032,eol
CremboC/mode-open-assessment,40071275,ecore
dblouin/rdalte2,26367598,eol
moamina/DAT,137605818,ecore
Sorour-j/Epsilon,30928998,ecore
gssi/RAModelingTool,672217115,ecore
ISorokos/acedit,17728095,eol
aabiskar1/eclipse_emf_model,38016285,eol
mgt1g13/ERS-Diagram,29943793,ecore
epsilonlabs/emc-ptcim,139191544,ecore
robywan27/model-driven-engineering-project,46407600,eol
dani8art/model-driven-microservices-generator,106586918,ecore
lowcomote/evl-viatra-prototype,38836505,eol
MohamadAli22/ALBA-framework,123842608,eol
willamys/msc.android.jacroid,23340778,eol
habbmehdi/RecipeML,4468381,ecore
githubbrunob/DSLTransGIT,19872698,ecore
aratare-jp/nolispe,860077939,eol
JMVARA/metagem,130755206,eol
webminz/corr-lang-emf,707912208,ecore
wrwei/SmartSAX,168782591,ecore
alinka77701/university_projects,145075143,ecore
alfa-yohannis/ethical-pinset,512393941,eol
Pmcb04/DataWebDeskDSL,26458542,eol
luciofernandes/reercase,129841078,ecore
samuelmorenov/DMSS-POUEX,32856101,eol
JhanCarlosMC/DiagramaClasesMDE,117309521,ecore
Cemarquez/SQL-Generator,68948069,eol
mvalle/model-generator,22915635,eol
sofaw/thesis-code,92283839,eol
JCarballi/ProyectoDMSS,157860797,ecore
KuehneThomas/model-to-model-transformation-generator,984217366,eol
moji1/EpsilonCLIForUMLRT,787320237,eol
alfonsodelavega/epsilonFork,12084145,ecore
EvelyneWang/CapiTrain,155985392,ecore
rohit19941994/MicroArt,136381900,ecore
York-and-Maastricht-Data-Science-Group/vaultage,29014256,eol
serhatGezgin/hibernate-dsl,24797162,eol
specialforces/acedit,545863261,eol
levilucio/DSLTransLifting,781345484,eol
JChen2010/liftedDSLTrans_experiment,430094438,eol
